Organization Unit,Event Date,Survey Type,Administrative Unit,Site Name,Number of PC rounds,Month,Year,Latitude,Longitude,Age group,Diagnostic Test,Ascaris Nbr examined,Ascaris Nbr Positives,Ascaris % Positives,Ascaris % Positives heavy intensity,Ascaris % Positives Moderate intensity,Ankylostome Nbr examined,Ankylostome Nbr Positives,Ankylostome % Positives,Ankylostome % Positives heavy intensity,Ankylostome % Positives Moderate intensity,Trichuris Nbr examined,Trichuris Nbr Positives,Trichuris % Positives,Trichuris % Positives heavy intensity,Trichuris % Positives Moderate intensity,STH examined,STH Positives,STH % Positives
iuGjpnxnFbI,7/1/21,Mapping,Ahmed ali,Delay ,0,July     ,2021,9.646788597,41.77801132,09 - 15,Kato-Katz,29,2,6,0,0,29,2,6,0,0,29,1,3,0,0,29,2,6
iuGjpnxnFbI,7/1/21,Mapping,Akule,akule ,0,July     ,2021,12.4287281,42.18971634,09 - 15,Kato-Katz,35,6,17,0,5,35,2,5,0,0,35,2,5,0,0,35,4,11
iuGjpnxnFbI,7/1/21,Mapping,Alashume ,Alashume ,0,July     ,2021,6.744774818,40.25259399,09 - 15,Kato-Katz,6,0,0,0,0,6,2,33,0,0,6,0,0,0,0,6,2,33
iuGjpnxnFbI,7/1/21,Mapping,Ali barwayn,Ali barwayn,0,July     ,2021,7.618071556,45.97340775,09 - 15,Kato-Katz,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0
iuGjpnxnFbI,7/1/21,Mapping,Ali barwayn,Ali barwayn,0,July     ,2021,7.618348598,45.97363663,09 - 15,Kato-Katz,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
iuGjpnxnFbI,7/1/21,Mapping,alidora,alidora,0,July     ,2021,9.854027748,41.36916351,09 - 15,Kato-Katz,31,7,22,0,0,31,8,25,0,0,31,7,22,0,0,31,9,29
iuGjpnxnFbI,7/1/21,Mapping,Alijiir,Alijiir,0,July     ,2021,9.513098717,41.06864929,09 - 15,Kato-Katz,45,6,13,0,0,45,5,11,0,0,45,3,6,0,0,45,8,17
iuGjpnxnFbI,7/1/21,Mapping,Alijiir,Alijiir,0,July     ,2021,9.519717216,41.08889389,09 - 15,Kato-Katz,17,2,11,0,0,17,2,11,0,0,17,0,0,0,0,17,2,11
iuGjpnxnFbI,7/1/21,Mapping,Alijiir,Alijiir,0,July     ,2021,9.523099899,41.09355545,09 - 15,Kato-Katz,34,6,17,0,0,34,2,5,0,0,34,0,0,0,0,34,2,5
iuGjpnxnFbI,7/1/21,Mapping,Aloosane,Aloosane Elementary school ,0,July     ,2021,8.222221375,42.46226501,09 - 15,Kato-Katz,30,2,6,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Amadle,Amadle,0,July     ,2021,9.263715744,42.99576187,09 - 15,Kato-Katz,40,0,0,0,0,40,0,0,0,0,40,0,0,0,0,40,0,0
iuGjpnxnFbI,7/1/21,Mapping,Ananu,Adam kiyo,0,July     ,2021,7.820375443,44.44095993,09 - 15,Kato-Katz,63,0,0,0,0,63,0,0,0,0,63,0,0,0,0,63,0,0
iuGjpnxnFbI,7/1/21,Mapping,Andido,Andido,0,July     ,2021,8.99654007,40.16919327,09 - 15,Kato-Katz,32,1,3,0,0,32,0,0,0,0,32,0,0,0,0,32,0,0
iuGjpnxnFbI,7/1/21,Mapping,Andido,Andido,0,July     ,2021,9.401534081,40.32851028,09 - 15,Kato-Katz,32,1,3,0,0,32,0,0,0,0,32,0,0,0,0,32,0,0
iuGjpnxnFbI,7/1/21,Mapping,Andido,Andido,0,July     ,2021,9.401693344,40.32867813,09 - 15,Kato-Katz,92,3,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0
iuGjpnxnFbI,7/1/21,Mapping,Aratush,Aratush elementary school ,0,July     ,2021,7.510819435,42.27694702,09 - 15,Kato-Katz,30,1,3,0,0,30,0,0,0,0,30,2,6,0,0,30,2,6
iuGjpnxnFbI,7/1/21,Mapping,Archei,Archei,0,July     ,2021,4.465538025,41.48417664,09 - 15,Kato-Katz,30,6,20,0,0,30,26,86,0,0,30,0,0,0,0,30,26,86
iuGjpnxnFbI,7/1/21,Mapping,Argale,Waylale,0,July     ,2021,13.20403576,40.8614502,09 - 15,Kato-Katz,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
iuGjpnxnFbI,7/1/21,Mapping,Argedeb,Hargedeb ,0,July     ,2021,6.280118942,41.16485977,09 - 15,Kato-Katz,64,15,23,0,1,64,16,25,0,0,64,12,18,0,0,64,21,32
iuGjpnxnFbI,7/1/21,Mapping,Armoukal 2,Armukale,0,July     ,2021,9.81925869,42.14180756,09 - 15,Kato-Katz,30,6,20,0,0,30,6,20,0,0,30,1,3,0,0,30,6,20
iuGjpnxnFbI,7/1/21,Mapping,armukale,armukale,0,July     ,2021,9.819310188,42.14174271,09 - 15,Kato-Katz,30,6,20,0,0,30,6,20,0,0,30,1,3,0,0,30,6,20
iuGjpnxnFbI,7/1/21,Mapping,Arsuja,Arsuja,0,July     ,2021,8.357172012,42.04959488,09 - 15,Kato-Katz,30,1,3,0,0,30,0,0,0,0,30,1,3,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Asbuley,Asbuly,0,July     ,2021,9.975998878,41.16355515,09 - 15,Kato-Katz,32,11,34,0,0,32,10,31,0,0,32,10,31,0,0,32,11,34
iuGjpnxnFbI,7/1/21,Mapping,Asbuli,asbuli,0,July     ,2021,9.975931168,41.16373062,09 - 15,Kato-Katz,32,11,34,0,0,32,10,31,0,0,32,10,31,0,0,32,11,34
iuGjpnxnFbI,7/1/21,Mapping,asbuli 2,asbuli 2,0,July     ,2021,9.894796371,41.3381958,09 - 15,Kato-Katz,30,5,16,0,0,30,3,10,0,0,30,4,13,0,0,30,4,13
iuGjpnxnFbI,7/1/21,Mapping,Awash Arba,Yenegewu tesfa,0,July     ,2021,9.124964714,40.17045593,09 - 15,Kato-Katz,92,3,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0
iuGjpnxnFbI,7/1/21,Mapping,Awash Biherawi Park,Dudub,0,July     ,2021,9.000260353,40.17102432,09 - 15,Kato-Katz,31,2,6,0,0,31,1,3,0,0,31,0,0,0,0,31,1,3
iuGjpnxnFbI,7/1/21,Mapping,Awash Sebat Kilo Town,Awash sebat kilo ,0,July     ,2021,8.996525764,40.16928101,09 - 15,Kato-Katz,61,3,4,0,0,61,0,0,0,0,61,0,0,0,0,61,0,0
iuGjpnxnFbI,7/1/21,Mapping,Awash Sheleko,Badahamo,0,July     ,2021,9.397693634,40.17377472,09 - 15,Kato-Katz,19,1,5,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0
iuGjpnxnFbI,7/1/21,Mapping,Ayinle ,ayinle primary school ,0,July     ,2021,4.769477367,41.0855751,09 - 15,Kato-Katz,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0
iuGjpnxnFbI,7/1/21,Mapping,Ayirolef Na Geblayitu,101,0,July     ,2021,11.80040359,41.14038467,09 - 15,Kato-Katz,23,2,8,0,4,23,0,0,0,0,23,0,0,0,0,23,0,0
