WASH Zone Name,WASH Woreda Name,Region,NTD Zone ID,NTD Region ID,NTD Woreda,Period,Total Number of Villages (Got) in the Woreda default,Total Number of Villages(Gots) to which HEWs are assigned default,Total Number of HEWs who have been provided with refresher training default,Total number of Households default,Total number of Households with improved toilet default,Total Number of Gots which are OD default,Total Number of Gots which are Primary ODF default,Total Number of Gots which are Secondary ODF default,Total Number of Gots which qualifies for Safely Managed sanitation default,Total number of school in the Woreda default,Total number of schools with Drinking Water with in school premise from protected sources default,Total number of schools with improved toilet default,Total number of schools which are sharing the improved toilet default,Total number of schools having shared toilet and meeting the  standard of toilet for Boys? Default,Total number of schools with separate toilet Block for girls default,Total number of schools with separate toilet block for girls meeting the standard of toilet for girls default,Total number of schools with separate toilet block for boys meeting the standard of toilet for boys default,Total Number of schools with  Handwashing station for children default,Total Number of schools with  Mensrual Hygiene Management system in the school default,Total number of Health Post in the Woreda default,Total number of Health Post with Drinking Water with in Health Post premise from protected sources default,Total number of Health Posts with improved toilet with permanent superstructure default,Total number of Health Posts with Incinerator default,Total number of Health Posts with Placenta Pit default,Total number of Health Posts with Ash pit default,Total number of Health Posts with infectious waste disposal pit default,Total number of Health Centre existing  in the Woreda default,Total number of Health Centre with Drinking Water with in Health Centre premise from protected sources default,Total number of Health Centre Drinking Water in the clinic and other departnets ( inlcuding  the maternity centre/ward) default,Total number of Health Centre with standard improved toilet with permanent superstructure default,Total number of Health Centre with standard improved toilet  with with permanent superstructure  in the maternity centre/ward default,Total number of Health Centre with Incinerator default,Total number of Health Centre with Placenta Pit default,Total number of Health Centre with Ash pit default,Total number of Health Centre with infectious waste disposal pit default
Zone One,Elidear,Afar,ORG00000014,ORG00000013,ORG00000030,2019,67,42,6,16276,789,67,0,0,0,17,0,12,10,0,0,0,0,0,0,12,0,5,0,0,0,0,3,0,0,0,0,3,2,0,0
Zone One,Aysaita,Afar,ORG00000014,ORG00000013,ORG00000027,2019,56,47,0,10554,7895,40,16,0,0,29,7,23,12,1,7,2,1,2,2,12,1,11,3,2,1,0,1,1,0,0,0,1,1,0,0
Zone One,Afambo,Afar,ORG00000014,ORG00000013,ORG00000026,2019,22,,,,,19,3,,,13,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0
Zone One,Dupti,Afar,ORG00000014,ORG00000013,ORG00000025,2019,81,22,0,12912,2114,81,0,0,0,8,3,7,0,0,0,0,0,0,0,11,0,11,1,0,0,2,3,0,0,0,0,3,1,1,1
Zone One,Ada'aar,Afar,ORG00000014,ORG00000013,ORG00000018,2019,68,24,7,11202,64,68,0,0,0,31,0,1,1,1,0,0,0,0,0,8,0,3,6,0,0,0,3,0,0,0,0,3,1,0,0
Zone One,Mille,Afar,ORG00000014,ORG00000013,ORG00000022,2019,69,19,0,5301,1237,60,9,0,0,,,,,,,,,,,9,1,8,1,9,0,0,4,3,0,0,0,3,4,0,1
Zone One,Chifra,Afar,ORG00000014,ORG00000013,ORG00000019,2019,99,86,16,19038,504,99,0,0,0,39,5,18,3,2,0,0,0,0,0,15,1,15,0,0,0,0,3,2,0,0,0,3,3,3,3
Zone One,Kori,Afar,ORG00000014,ORG00000013,ORG00000024,2019,70,61,12,10509,0,62,8,0,0,12,0,4,3,3,2,0,0,0,0,7,0,7,0,0,0,0,2,0,0,1,0,2,2,1,1
Zone One,Samara-Logia,Afar,ORG00000014,ORG00000013,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Two,Dallol,Afar,ORG00000047,ORG00000013,ORG00000036,2019,63,30,30,17240,0,63,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Zone Two,Kuneba,Afar,ORG00000047,ORG00000013,ORG00000046,2019,71,65,0,3616,0,71,0,0,0,27,4,7,7,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,2,0,2,2,1,1
Zone Two,Berahle,Afar,ORG00000047,ORG00000013,ORG00000034,2019,75,75,17,16308,15,68,7,0,0,40,7,13,4,3,9,8,8,4,2,15,0,0,1,0,0,1,4,2,0,4,0,4,4,0,4
Zone Two,Abaa'ala,Afar,ORG00000047,ORG00000013,ORG00000029,2019,66,48,31,7797,526,66,0,0,0,43,10,19,11,2,8,1,1,2,0,8,0,0,0,0,0,0,4,3,0,4,0,3,3,2,2
Zone Two,Erepti,Afar,ORG00000047,ORG00000013,ORG00000044,2019,52,12,12,11885,411,52,0,0,0,32,0,3,5,1,0,0,0,0,0,12,2,10,5,0,0,2,2,0,0,2,0,2,1,1,0
Zone Two,Megalle,Afar,ORG00000047,ORG00000013,ORG00000048,2019,50,42,21,5405,1,49,1,0,0,22,2,5,7,5,1,1,1,1,0,8,0,1,1,0,0,0,3,1,0,2,0,3,1,0,1
Zone Two,Afdera,Afar,ORG00000047,ORG00000013,ORG00000023,2019,33,4,0,32273,104,33,0,0,0,,,,,,,,,,,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Zone Two,Bidu,Afar,ORG00000047,ORG00000013,ORG00000033,2019,62,3,2,4126,902,62,0,0,0,8,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
Zone Three,Amibara,Afar,ORG00000035,ORG00000013,ORG00000020,2019,87,87,0,18915,5314,13,74,0,0,28,15,20,14,2,8,0,0,0,0,20,4,20,0,0,0,0,4,4,0,4,0,4,4,3,4
Zone Three,Awash Fentalle,Afar,ORG00000035,ORG00000013,ORG00000021,2019,41,41,9,17141,0,41,0,0,0,16,0,10,0,0,0,0,0,0,0,11,10,1,0,0,0,0,2,0,0,2,0,2,2,0,0
Zone Three,Gelealo,Afar,ORG00000035,ORG00000013,,2019,79,16,16,8475,333,72,7,0,0,19,2,14,6,7,9,8,7,2,0,13,2,8,0,0,0,0,3,2,0,0,0,2,1,1,1
Zone Three,Gewane,Afar,ORG00000035,ORG00000013,ORG00000042,2019,53,58,21,7464,198,53,0,0,0,17,3,1,1,1,1,1,0,0,0,8,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0
Zone Three,Dulecha,Afar,ORG00000035,ORG00000013,ORG00000037,2019,36,3,0,4630,0,35,1,0,0,36,2,12,12,12,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Zone Three,Argoba,Afar,ORG00000035,ORG00000013,ORG00000017,2019,90,89,21,4468,790,64,26,0,0,15,8,14,10,0,4,4,1,4,0,12,7,12,11,1,0,2,1,1,1,1,0,1,1,1,1
Zone Three,Awash 7,Afar,ORG00000035,ORG00000013,ORG00000015,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Four,Teru,Afar,ORG00000031,ORG00000013,ORG00000050,2019,65,6,0,2895,0,65,0,0,0,14,3,1,1,0,1,0,0,1,0,5,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1
Zone Four,Gulina,Afar,ORG00000031,ORG00000013,ORG00000045,2019,163,7,3,11662,551,163,0,0,0,38,12,11,8,2,4,1,1,0,0,11,0,10,0,0,0,2,2,0,0,1,0,2,1,1,2
Zone Four,Yallo,Afar,ORG00000031,ORG00000013,ORG00000052,2019,127,9,6,9652,19,127,0,0,0,19,2,7,1,1,6,5,6,1,0,11,1,11,4,0,0,0,3,3,1,3,0,3,3,2,0
Zone Four,Awura,Afar,ORG00000031,ORG00000013,ORG00000028,2019,49,9,9,4588,7,49,0,0,0,5,3,0,0,0,0,0,0,0,0,7,2,7,0,0,0,0,2,0,0,1,0,2,2,0,1
Zone Four,Ewaa,Afar,ORG00000031,ORG00000013,ORG00000043,2019,50,9,10,9792,429,50,0,0,0,39,11,13,13,0,0,0,0,0,0,10,10,10,0,0,0,0,2,1,0,0,0,1,2,0,1
Zone Five,Dalifaghe,Afar,ORG00000040,ORG00000013,ORG00000038,2019,41,10,0,2148,0,41,0,0,0,27,45,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Zone Five,Sumirobi,Afar,ORG00000040,ORG00000013,,2019,52,11,12,6948,0,52,0,0,0,37,7,16,3,4,13,10,10,0,0,5,0,5,0,0,0,0,3,0,0,3,0,3,3,0,3
Zone Five,Dewe,Afar,ORG00000040,ORG00000013,ORG00000039,2019,74,74,17,8696,0,74,0,0,0,19,4,16,10,1,3,1,7,3,0,12,2,8,8,0,0,1,3,1,0,3,0,3,3,1,3
Zone Five,Telalek,Afar,ORG00000040,ORG00000013,ORG00000051,2019,98,98,12,6988,30,98,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,1,3,2,0,3,0,3,3,2,3
Zone Five,Hadele'ela,Afar,ORG00000040,ORG00000013,ORG00000041,2019,89,88,0,2604,70,89,0,0,0,29,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Awi,Dangila,Amhara,ORG00000054,ORG00000053,ORG00000060,2019,300,61,,,10210,300,0,0,0,70,26,48,29,18,17,9,11,14,12,29,4,1,0,0,0,0,5,3,3,5,0,4,5,5,0
Awi,Banja Shekudad,Amhara,ORG00000054,ORG00000053,ORG00000065,2019,243,58,47,,2543,66,177,0,0,49,29,35,17,15,26,22,18,13,5,26,6,2,1,2,1,0,6,4,1,5,0,2,5,1,0
Awi,Ankasha Guagusa,Amhara,ORG00000054,ORG00000053,ORG00000055,2019,213,43,17,,903,168,45,0,0,38,22,19,14,5,8,8,8,3,13,17,5,3,2,0,1,0,5,3,1,2,0,2,3,2,0
Awi,Guangua,Amhara,ORG00000054,ORG00000053,ORG00000063,2019,278,42,0,,2196,216,62,0,0,65,54,19,2,14,12,12,12,10,3,18,9,5,0,0,0,0,4,0,3,2,0,3,4,3,0
Awi,Fagita Lekoma,Amhara,ORG00000054,ORG00000053,ORG00000062,2019,287,51,47,,,146,141,0,0,68,41,48,18,18,30,13,14,1,7,28,1,8,0,1,0,0,7,4,2,5,0,7,7,4,0
Awi,Jawi,Amhara,ORG00000054,ORG00000053,ORG00000061,2019,197,39,27,,9721,69,128,0,0,58,17,14,6,6,6,5,5,1,4,,,,,,,,5,3,2,5,0,5,5,1,0
Awi,Guagusa Shikuda,Amhara,ORG00000054,ORG00000053,ORG00000057,2019,216,22,22,,9200,82,134,0,0,39,27,13,10,3,1,3,3,0,0,15,6,2,0,0,0,0,4,3,1,2,0,3,4,0,0
Awi,Enjibara  Town,Amhara,ORG00000054,ORG00000053,ORG00000058,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awi,Zigem,Amhara,ORG00000054,ORG00000053,ORG00000056,2019,151,28,13,,8022,127,24,0,0,38,22,30,10,8,18,17,16,12,3,20,9,4,0,1,1,0,3,3,1,1,0,3,3,0,0
Awi,Dangela Town,Amhara,ORG00000054,ORG00000053,ORG00000064,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awi,Chagni  / Town/,Amhara,ORG00000054,ORG00000053,ORG00000059,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awi,Ayehu Guwagusa,Amhara,ORG00000054,ORG00000053,ORG00000055,2019,230,230,40,,,230,0,0,0,46,19,19,16,13,13,3,10,6,2,8,1,3,2,2,1,0,4,2,1,0,0,2,2,2,0
East Gojam ,Bibugn ,Amhara,ORG00000066,ORG00000053,ORG00000071,2019,272,272,38,12982,11659,36,236,0,0,34,31,24,19,14,11,11,11,13,0,16,1,2,13,0,9,0,4,3,3,4,0,4,4,4,0
East Gojam ,Hulet Ej Enese,Amhara,ORG00000066,ORG00000053,ORG00000076,2019,299,295,,33915,24521,4,295,0,0,62,22,14,59,51,4,2,2,8,5,28,0,5,3,0,0,0,8,6,1,5,0,6,6,1,0
East Gojam ,Goncha Siso Enese,Amhara,ORG00000066,ORG00000053,ORG00000082,2019,493,493,77,38288,17140,377,101,15,0,92,16,22,20,0,2,2,2,0,0,43,0,0,0,0,0,0,8,1,1,4,6,5,6,8,0
East Gojam ,Enebse Sar Midir,Amhara,ORG00000066,ORG00000053,ORG00000078,2019,320,320,,32097,23728,270,41,9,0,74,20,0,0,17,17,1,17,1,1,33,4,12,5,0,7,0,8,5,2,8,0,7,8,8,0
East Gojam ,Enarj Enawga,Amhara,ORG00000066,ORG00000053,ORG00000081,2019,243,242,49,,,178,61,4,0,64,37,63,38,37,27,26,26,36,15,30,16,18,1,3,2,0,7,6,1,7,0,6,5,5,4
East Gojam ,Enemay,Amhara,ORG00000066,ORG00000053,ORG00000077,2019,197,197,,36263,15169,149,48,0,0,78,43,58,36,38,41,35,48,23,12,33,9,6,2,1,3,0,7,4,1,6,0,7,6,4,0
East Gojam ,Debay Tilatgin,Amhara,ORG00000066,ORG00000053,ORG00000067,2019,171,171,46,34404,,71,100,0,0,77,12,5,3,0,3,2,0,0,0,20,1,5,0,0,0,0,6,4,5,6,0,3,4,3,5
East Gojam ,Elias,Amhara,ORG00000066,ORG00000053,,2019,226,226,36,18815,15628,6,84,136,0,34,13,24,17,15,6,4,8,4,20,16,1,3,0,0,0,0,4,2,0,2,0,3,3,3,3
East Gojam ,Machakel,Amhara,ORG00000066,ORG00000053,ORG00000084,2019,339,51,51,29230,25538,0,32,307,0,55,15,9,0,0,0,0,0,0,12,24,4,6,0,0,24,0,6,6,1,3,0,4,6,6,0
East Gojam ,Gozamin,Amhara,ORG00000066,ORG00000053,ORG00000080,2019,371,54,54,33163,20387,124,216,31,0,59,29,31,24,23,21,17,16,9,4,27,0,0,0,0,0,0,6,2,1,6,0,6,6,0,0
East Gojam ,Baso Liben,Amhara,ORG00000066,ORG00000053,ORG00000072,2019,276,273,,36845,26357,104,139,33,0,54,15,19,3,0,14,3,0,1,0,22,5,19,0,0,22,0,4,2,1,2,2,3,4,4,0
East Gojam ,Awabel-Wereda               ,Amhara,ORG00000066,ORG00000053,,2019,122,121,52,30277,26658,2,20,100,0,61,32,30,10,7,7,7,7,6,4,29,6,9,0,0,0,0,6,4,0,6,0,6,6,5,0
East Gojam ,Dejen,Amhara,ORG00000066,ORG00000053,ORG00000070,2019,161,161,,24819,12822,52,109,0,0,64,33,30,25,15,19,8,10,6,7,24,7,7,0,0,0,0,5,5,0,5,0,4,5,3,0
East Gojam ,Shebel Berenta,Amhara,ORG00000066,ORG00000053,ORG00000068,2019,86,86,,30126,28967,16,70,0,0,47,30,36,38,37,4,0,46,44,4,21,21,0,0,0,0,0,6,6,4,5,0,6,6,6,0
East Gojam ,Sinan ,Amhara,ORG00000066,ORG00000053,ORG00000083,2019,220,220,29,18276,7752,101,90,29,0,48,20,18,16,12,15,10,9,14,1,20,1,2,0,0,3,0,5,3,1,4,0,3,3,2,4
East Gojam ,Aneded,Amhara,ORG00000066,ORG00000053,ORG00000075,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gojam ,Debere Markos/Town/,Amhara,ORG00000066,ORG00000053,ORG00000074,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gojam ,Mota Town,Amhara,ORG00000066,ORG00000053,ORG00000195,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gojam ,Dejen Town,Amhara,ORG00000066,ORG00000053,ORG00000191,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gojam ,Bichena Town,Amhara,ORG00000066,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gojam ,Sedae,Amhara,ORG00000066,ORG00000053,,2019,162,162,,25426,19769,0,162,0,0,37,11,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,3,2,2,3,0,3,3,1,0
N. Gonder,Gonder Zuria,Amhara,ORG00000085,ORG00000053,ORG00000092,2019,159,159,34,44102,10893,141,15,3,0,86,21,86,38,0,0,0,,0,4,35,0,13,6,6,2,0,8,3,0,0,0,7,6,0,0
N. Gonder,Takusa,Amhara,ORG00000085,ORG00000053,ORG00000098,2019,116,116,56,,,56,60,,0,28,6,8,0,4,5,4,4,4,0,24,0,3,0,0,0,0,4,2,2,2,2,0,0,0,0
N. Gonder,Lay Armachew,Amhara,ORG00000085,ORG00000053,ORG00000100,2019,296,296,47,22435,2739,286,10,0,0,49,15,25,18,8,10,7,6,0,1,28,0,0,0,0,0,0,5,1,0,0,4,0,0,0,0
N. Gonder,Alefa,Amhara,ORG00000085,ORG00000053,ORG00000088,2019,49,49,6,,,0,49,0,0,94,30,32,19,5,6,5,9,6,9,4,0,2,1,0,0,0,6,0,0,1,0,5,6,0,0
N. Gonder,East Belessa,Amhara,ORG00000085,ORG00000053,ORG00000108,2019,554,554,82,,,492,62,0,0,75,13,20,13,9,11,8,10,6,1,19,6,2,0,0,0,0,4,3,2,2,0,0,0,0,0
N. Gonder,Quara,Amhara,ORG00000085,ORG00000053,ORG00000216,2019,198,45,45,,,145,53,0,0,28,0,14,0,0,0,0,0,0,0,28,0,14,0,0,0,0,6,3,0,4,0,6,6,0,0
N. Gonder,Wogera,Amhara,ORG00000085,ORG00000053,ORG00000208,2019,526,526,53,,,328,198,0,0,90,4,8,8,6,5,5,5,2,18,19,0,1,1,1,1,0,8,3,1,3,0,8,8,8,0
N. Gonder,Aderkay,Amhara,ORG00000085,ORG00000053,ORG00000087,2019,185,,35,,,169,16,0,0,67,8,17,13,2,4,1,0,0,0,22,0,3,1,0,1,0,4,0,0,0,0,4,4,4,0
N. Gonder,Tegeda,Amhara,ORG00000085,ORG00000053,ORG00000101,2019,181,181,38,,,153,28,0,0,52,17,10,3,1,3,3,3,0,0,22,0,7,1,1,1,0,4,2,0,2,0,3,4,1,0
N. Gonder,Dabat,Amhara,ORG00000085,ORG00000053,ORG00000093,2019,193,192,49,,,185,8,0,0,79,14,18,15,5,9,4,4,0,0,34,5,6,1,2,2,0,6,2,1,6,0,6,0,,0
N. Gonder,Telemt,Amhara,ORG00000085,ORG00000053,ORG00000096,2019,162,162,22,,,159,3,0,0,44,0,24,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,3,0,3,2,0,0,0,0
N. Gonder,Beyeda,Amhara,ORG00000085,ORG00000053,ORG00000107,2019,366,366,25,,,366,0,0,0,43,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0
N. Gonder,Janamora,Amhara,ORG00000085,ORG00000053,ORG00000099,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Debark,Amhara,ORG00000085,ORG00000053,ORG00000089,2019,10,10,0,,,10,0,0,0,9,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
N. Gonder,Mirab Armachiho,Amhara,ORG00000085,ORG00000053,ORG00000106,2019,63,62,7,,,63,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
N. Gonder,Tegede,Amhara,ORG00000085,ORG00000053,ORG00000101,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Dembia,Amhara,ORG00000085,ORG00000053,ORG00000091,2019,291,291,61,35078,2331,287,4,0,0,76,17,31,25,18,21,12,18,14,11,30,0,4,2,2,2,2,5,3,1,4,0,4,5,3,0
N. Gonder,Chilga,Amhara,ORG00000085,ORG00000053,ORG00000105,2019,495,480,90,44033,5033,436,55,4,0,163,30,46,19,10,17,17,16,9,7,50,0,3,1,1,3,0,7,0,0,6,0,5,6,6,0
N. Gonder,Metema,Amhara,ORG00000085,ORG00000053,ORG00000104,2019,170,17,33,,,164,6,0,0,41,9,0,41,0,0,0,0,0,0,21,0,10,0,1,0,0,4,2,1,3,3,2,4,2,0
N. Gonder,Mirab Belesa,Amhara,ORG00000085,ORG00000053,ORG00000102,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Tach Armachoho,Amhara,ORG00000085,ORG00000053,ORG00000095,2019,259,231,39,27461,4909,209,50,0,0,53,18,30,19,12,11,8,8,8,3,34,0,7,1,0,2,4,9,3,1,6,1,4,6,3,
N. Gonder,Genda Weha Town,Amhara,ORG00000085,ORG00000053,,2019,8,8,6,,,8,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,0,1,1,1,0
N. Gonder,Debark Town,Amhara,ORG00000085,ORG00000053,ORG00000089,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Aykel Town,Amhara,ORG00000085,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Kinfez Begela,Amhara,ORG00000085,ORG00000053,,2019,246,246,21,,,246,0,0,0,,,,,,,,,,,18,0,0,0,0,0,0,3,0,0,1,0,,1,,
N. Gonder,West Dembiya,Amhara,ORG00000085,ORG00000053,,2019,146,141,141,13988,814,146,0,0,0,32,19,22,13,11,8,7,6,2,0,,,,,,,,,,,,,,,,
N. Gonder,Metema Yohanes Town,Amhara,ORG00000085,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gonder,Abderafi Town,Amhara,ORG00000085,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Mida Woremo,Amhara,ORG00000109,ORG00000053,ORG00000125,2019,128,127,25,17265,1571,110,18,0,0,52,12,32,29,13,13,10,10,12,2,20,0,10,0,0,0,0,5,0,0,5,0,4,5,4,0
North Shewa,Merhabete,Amhara,ORG00000109,ORG00000053,ORG00000113,2019,207,207,23,29468,2109,164,43,0,0,52,24,24,24,24,24,24,24,4,4,23,0,7,1,1,1,0,5,0,0,1,0,0,0,5,0
North Shewa,Ensarona Wayu,Amhara,ORG00000109,ORG00000053,,2019,109,91,18,13422,2284,109,0,0,0,41,6,9,5,0,0,2,0,5,0,13,0,5,0,0,0,0,4,0,0,3,0,2,3,2,0
North Shewa,Moretna Juru,Amhara,ORG00000109,ORG00000053,ORG00000122,2019,166,18,0,0,0,166,0,0,0,63,12,22,0,0,60,0,0,8,5,20,0,18,0,0,0,0,4,0,0,4,0,4,4,0,0
North Shewa,Menz Gera Midir,Amhara,ORG00000109,ORG00000053,,2019,685,685,46,,,372,287,26,0,72,32,40,34,30,4,1,6,17,6,20,0,7,0,0,0,0,4,0,0,4,0,4,4,4,0
North Shewa,Gishe Rabel,Amhara,ORG00000109,ORG00000053,,2019,477,24,17,11427,,458,19,0,0,73,2,2,2,3,0,0,0,2,0,11,0,3,0,0,0,0,4,0,0,2,0,2,2,2,0
North Shewa,Antsokiyana Gemza,Amhara,ORG00000109,ORG00000053,ORG00000124,2019,101,101,24,11445,5000,18,74,9,0,32,25,6,26,26,5,0,0,4,1,11,4,0,0,0,0,0,4,0,0,0,0,3,4,4,0
North Shewa,Efratana Gidim,Amhara,ORG00000109,ORG00000053,ORG00000114,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Menz Mama Midir,Amhara,ORG00000109,ORG00000053,,2019,61,61,36,18001,14744,48,13,0,0,56,22,37,14,11,22,9,8,6,0,19,19,0,0,0,0,0,,,,,,,,,
North Shewa,Tarma Ber,Amhara,ORG00000109,ORG00000053,ORG00000129,2019,228,228,43,,,89,139,0,0,52,42,52,33,33,33,0,0,0,12,19,11,3,1,0,0,0,4,3,1,4,0,4,4,4,0
North Shewa,Mojana Wodera,Amhara,ORG00000109,ORG00000053,ORG00000128,2019,221,219,30,14733,12362,88,73,2,58,36,10,20,18,17,2,1,2,2,3,10,0,0,0,1,0,0,3,0,0,3,0,3,3,3,0
North Shewa,Kewet,Amhara,ORG00000109,ORG00000053,ORG00000115,2019,137,31,26,,,34,103,0,0,50,18,40,30,22,11,7,9,9,10,20,,11,0,0,0,0,,,,,,,,,
North Shewa,Angolala Tera,Amhara,ORG00000109,ORG00000053,ORG00000132,2019,379,20,18,17814,4034,81,298,0,0,45,21,43,23,6,24,23,23,24,17,21,21,21,0,0,0,0,4,4,2,4,0,4,4,0,0
North Shewa,Asagirt,Amhara,ORG00000109,ORG00000053,ORG00000127,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Ankober,Amhara,ORG00000109,ORG00000053,ORG00000126,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Hagere Mariam ,Amhara,ORG00000109,ORG00000053,ORG00000111,2019,257,211,32,10645,988,161,96,0,0,39,8,16,7,8,17,17,17,9,26,20,0,5,0,0,0,0,4,0,0,0,0,2,4,4,0
North Shewa,Berehet,Amhara,ORG00000109,ORG00000053,ORG00000118,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Minjarna Shenkora,Amhara,ORG00000109,ORG00000053,ORG00000131,2019,82,79,23,,24776,51,31,0,0,83,23,33,5,8,5,5,3,2,5,22,3,0,1,0,0,0,5,0,0,5,,5,5,4,0
North Shewa,Basona Werana,Amhara,ORG00000109,ORG00000053,,2019,97,59,47,30586,17647,45,52,0,0,69,22,68,68,0,0,0,0,11,0,31,,8,0,0,0,0,4,0,0,3,,4,4,0,0
North Shewa,Menz Keya Gebreal,Amhara,ORG00000109,ORG00000053,,2019,157,130,35,13426,780,34,123,0,0,37,1,14,13,0,0,0,0,0,0,13,,,,,,,,,,,,,,,
North Shewa,Menz Lalo Midir,Amhara,ORG00000109,ORG00000053,,2019,26,23,22,7702,3498,11,15,0,0,28,4,4,4,0,0,0,0,0,0,8,0,1,0,0,0,0,3,0,0,1,,3,3,3,0
North Shewa,Saya Deberna Wayu,Amhara,ORG00000109,ORG00000053,,2019,221,221,28,12145,2666,219,2,0,0,40,9,14,5,6,11,11,10,4,0,13,6,10,0,0,0,,3,2,1,2,0,2,3,0,2
North Shewa,Debre Brehan/Town/,Amhara,ORG00000109,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Shewa Robit Town,Amhara,ORG00000109,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Mehal Meda Town,Amhara,ORG00000109,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Ataye Town,Amhara,ORG00000109,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Shewa,Alem Ketema Town,Amhara,ORG00000109,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wello,Bugna,Amhara,ORG00000134,ORG00000053,ORG00000137,2019,118,118,,,,64,54,0,0,86,7,7,7,7,7,7,7,7,7,14,0,3,0,0,0,0,4,1,0,4,0,3,4,0,0
North Wello,Kobo,Amhara,ORG00000134,ORG00000053,ORG00000141,2019,188,57,18,,,142,32,14,0,121,20,5,2,1,1,0,0,0,0,45,7,1,0,0,0,0,12,12,9,9,0,12,10,15,0
North Wello,Gidan,Amhara,ORG00000134,ORG00000053,ORG00000144,2019,77,45,39,,,77,0,0,0,60,32,10,0,0,44,19,0,15,2,22,13,6,4,2,0,0,6,6,0,0,0,5,6,6,0
North Wello,Meket,Amhara,ORG00000134,ORG00000053,ORG00000135,2019,156,147,53,,,116,40,0,0,75,20,37,21,12,23,23,21,15,6,34,1,6,0,0,0,0,7,4,4,7,0,7,7,7,0
North Wello,Wadla,Amhara,ORG00000134,ORG00000053,ORG00000146,2019,74,74,31,,,51,23,0,0,62,22,49,39,19,21,5,7,7,4,23,4,4,0,0,0,0,6,3,0,6,0,6,6,6,0
