woreda,woreda uid,zone,zone id,region,region id
Bora,ORG00000421,E. Shewa ,ORG00000413,Oromia,ORG00000311
Bore,ORG00000473,Guji  ,ORG00000464,Oromia,ORG00000311
Borecha,ORG00000387,Buno Bedele,ORG00000377,Oromia,ORG00000311
Boreda,ORG00000700,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Boricha,ORG00000788,Sidama  ,ORG00000775,SNNPR,ORG00000668
Boset,ORG00000427,E. Shewa ,ORG00000413,Oromia,ORG00000311
Boter Tolay,ORG00000526,Jimma  ,ORG00000508,Oromia,ORG00000311
Bugna,ORG00000137,N. Wello,ORG00000134,Amhara,ORG00000053
Bule Hora,ORG00000641,West Guji,ORG00000631,Oromia,ORG00000311
Bule Hora Town,ORG00000642,West Guji,ORG00000631,Oromia,ORG00000311
Bulle,ORG00000713,Gedio  ,ORG00000710,SNNPR,ORG00000668
Bullen,ORG00000237,Metekel,ORG00000234,Beneshangul Gumuz,ORG00000218
Burayu Town,ORG00000452,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Bure,ORG00000507,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Buremodaytu,ORG00000032,Fanti,ORG00000031,Afar,ORG00000013
Bure Town,ORG00000209,West Gojam,ORG00000201,Amhara,ORG00000053
Bure Zuria,ORG00000211,West Gojam,ORG00000201,Amhara,ORG00000053
Burji,ORG00000766,Segen  ,ORG00000764,SNNPR,ORG00000668
Burka dhintu,ORG00000572,W. Harerge ,ORG00000571,Oromia,ORG00000311
Bursa,ORG00000780,Sidama  ,ORG00000775,SNNPR,ORG00000668
Butajira Town,ORG00000721,Gurage  ,ORG00000719,SNNPR,ORG00000668
Celewyane,ORG00000918,Shebele  ,ORG00000914,Somali,ORG00000843
Chagni Town,ORG00000059,Awi,ORG00000054,Amhara,ORG00000053
Cheha,ORG00000729,Gurage  ,ORG00000719,SNNPR,ORG00000668
Chelia,ORG00000611,W. Shewa ,ORG00000589,Oromia,ORG00000311
Chena,ORG00000748,Kafa  ,ORG00000743,SNNPR,ORG00000668
Chencha,ORG00000697,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Chereti,ORG00000848,Afder  ,ORG00000844,Somali,ORG00000843
